TransactionID|Date|ProductID|ProductName|Quantity|UnitPrice|CustomerID|Region|API_Category|API_Brand|API_Rating|API_Match
T018|2024-12-29|P107|USB Cable|8|173.0|C009|South|mobile-accessories|Beats|4.24|True
T063|2024-12-07|P110|Laptop Charger|6|1916.0|C022|East|mobile-accessories|GadgetMaster|3.55|True
T023|2024-12-09|P109|Wireless Mouse|9|523.0|C022|North|mobile-accessories|TechGear|4.43|True
T059|2024-12-29|P102|MouseWireless|4|1056.0|C010|South|mobile-accessories|Apple|3.68|True
T035|2024-12-08|P102|Mouse|4|431.0|C011|North|mobile-accessories|Apple|3.68|True
T061|2024-12-10|P109|Wireless Mouse|2|775.0|C009|North|mobile-accessories|TechGear|4.43|True
T057|2024-12-15|P101|LaptopPremium|10|81896.0|C004|North|mobile-accessories|Apple|3.47|True
T034|2024-12-22|P107|USB Cable|6|324.0|C029|West|mobile-accessories|Beats|4.24|True
T050|2024-12-02|P104|MonitorLED|10|9997.0|C024|East|mobile-accessories|Apple|4.15|True
T024|2024-12-25|P109|Wireless Mouse|5|1812.0|C011|North|mobile-accessories|TechGear|4.43|True
T004|2024-12-07|P109|Wireless Mouse|9|1359.0|C008|West|mobile-accessories|TechGear|4.43|True
T068|2024-12-02|P109|Wireless Mouse|6|1692.0|C018|South|mobile-accessories|TechGear|4.43|True
T066|2024-12-06|P105|Webcam|8|4259.0|C023|West|mobile-accessories|Apple|3.62|True
T064|2024-12-16|P109|Wireless Mouse|5|604.0|C003|West|mobile-accessories|TechGear|4.43|True
T045|2024-12-26|P108|External Hard Drive|9|3802.0|C002|North|mobile-accessories|Apple|3.62|True
T015|2024-12-30|P105|Webcam|9|2899.0|C022|East|mobile-accessories|Apple|3.62|True
T055|2024-12-07|P105|WebcamHD|6|2977.0|C009|West|mobile-accessories|Apple|3.62|True
T002|2024-12-22|P102|Mouse|9|478.0|C019|West|mobile-accessories|Apple|3.68|True
T051|2024-12-02|P101|LaptopPremium|10|76246.0|C017|South|mobile-accessories|Apple|3.47|True
T005|2024-12-09|P110|Laptop Charger|1|3054.0|C026|South|mobile-accessories|GadgetMaster|3.55|True
T007|2024-12-03|P102|Mouse|7|498.0|C012|East|mobile-accessories|Apple|3.68|True
T010|2024-12-07|P110|Laptop Charger|2|1593.0|C022|South|mobile-accessories|GadgetMaster|3.55|True
T032|2024-12-22|P103|Keyboard|8|1476.0|C009|West|mobile-accessories|Apple|4.62|True
T008|2024-12-09|P110|Laptop Charger|1|2994.0|C015|North|mobile-accessories|GadgetMaster|3.55|True
T060|2024-12-27|P108|External Hard Drive1TB|9|8763.0|C010|North|mobile-accessories|Apple|3.62|True
T062|2024-12-24|P102|Mouse|9|618.0|C009|East|mobile-accessories|Apple|3.68|True
T003|2024-12-01|P101|Laptop|2|59328.0|C008|North|mobile-accessories|Apple|3.47|True
T022|2024-12-20|P107|USB Cable|2|297.0|C013|West|mobile-accessories|Beats|4.24|True
T046|2024-12-30|P102|MouseWireless|4|640.0|C014|West|mobile-accessories|Apple|3.68|True
T049|2024-12-22|P109|Wireless MouseGaming|8|817.0|C007|East|mobile-accessories|TechGear|4.43|True
T006|2024-12-11|P107|USB Cable|5|179.0|C007|East|mobile-accessories|Beats|4.24|True
T011|2024-12-03|P105|Webcam|4|2413.0|C013|East|mobile-accessories|Apple|3.62|True
T031|2024-12-24|P102|Mouse|8|441.0|C025|South|mobile-accessories|Apple|3.68|True
T033|2024-12-30|P104|Monitor|9|14591.0|C023|East|mobile-accessories|Apple|4.15|True
T058|2024-12-07|P109|Wireless MouseGaming|9|1043.0|C005|East|mobile-accessories|TechGear|4.43|True
T029|2024-12-11|P110|Laptop Charger|8|1539.0|C004|East|mobile-accessories|GadgetMaster|3.55|True
T030|2024-12-08|P105|Webcam|1|2986.0|C029|North|mobile-accessories|Apple|3.62|True
T021|2024-12-25|P102|Mouse|1|524.0|C005|South|mobile-accessories|Apple|3.68|True
T070|2024-12-07|P106|Headphones|4|6463.0|C004|East|mobile-accessories|Apple|2.74|True
T028|2024-12-25|P106|Headphones|3|5418.0|C025|North|mobile-accessories|Apple|2.74|True
T014|2024-12-24|P109|Wireless Mouse|4|834.0|C015|West|mobile-accessories|TechGear|4.43|True
T019|2024-12-24|P104|Monitor|9|16609.0|C024|West|mobile-accessories|Apple|4.15|True
T054|2024-12-03|P110|Laptop Charger65W|7|2846.0|C019|East|mobile-accessories|GadgetMaster|3.55|True
T001|2024-12-01|P102|Mouse|5|801.0|C008|South|mobile-accessories|Apple|3.68|True
T036|2024-12-18|P110|Laptop Charger|4|2705.0|C008|North|mobile-accessories|GadgetMaster|3.55|True
T020|2024-12-13|P110|Laptop Charger|6|1949.0|C005|West|mobile-accessories|GadgetMaster|3.55|True
